"Stars","Title","Entry ID","Entry Name","Date Added","Date Modified","PDB format version","Source Path","Source File","Source File Index","entry id backup","ran protassign","prepared","prepared with version","Potential Energy-OPLS3e","RMS Derivative-OPLS3e","Max Derivative-OPLS3e","Stretch Energy-OPLS3e","Bend Energy-OPLS3e","LJ-14 Energy-OPLS3e","El-14 Energy-OPLS3e","Van der Waals Energy-OPLS3e","Electrostatic Energy-OPLS3e","Dihedral Energy-OPLS3e","target temperature","ran impref","grid version","gridbox xcent","gridbox ycent","gridbox zcent","gridbox xrange","gridbox yrange","gridbox zrange","gridbox ligxrange","gridbox ligyrange","gridbox ligzrange","grid type","receptor","Line_Number","IC50","chiral flag","version","ct enhanced stereo status","mmshare version","input","cmdline","tautomer probability","Ionization Penalty","Ionization Penalty Charging","Ionization Penalty Neutral","State Penalty","Charging Adjusted Penalty","Tot Q","Tot abs Q","flags","Force Field","Energy","Chiralities Consistent","Variant","glide gridfile","glide lignum","glide rotatable bonds","docking score","glide ligand efficiency","glide ligand efficiency sa","glide ligand efficiency ln","XP GScore","glide gscore","glide evdw","glide ecoul","glide energy","glide einternal","glide emodel","XP HBond","glide confnum","glide posenum","glide eff state penalty","XP PoseRank","Chemistry Notes","EZ 1"
,"901 - minimized","48900","901.1","2025-11-14 19:16:56","2025-11-14 19:16:56","3.0","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/XP/6QSU","901_XP.maegz",1,"72",true,true,"2020-3",-22369.838,0.058,2.297,14.056,839.281,978.323,-718.970,-2202.304,-21292.948,12.725,298.000,true,88139,0.623,2.046,27.463,25.000,25.000,25.000,10.000,10.000,10.000,"glide",true,,,,,,,"","",,,,,,,,,,"",,,"","",,,,,,,,,,,,,,,,,,,"",""
,"168476030.0","48901","329_168476030.0.1","2025-11-14 19:16:56","2025-11-14 19:16:56","","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/XP/6QSU","901_XP.maegz",2,"",,,"",,,,,,,,,,,,,,,,,,,,,,,"",,329,1555,true,0,2,51139,"Tz1QKFtPSF0pKFtPSF0pW0NIMl1bQ0BIXShDKD1PKVtPSF0pYzFbY0hdW2NIXWMoW09IXSljKFtPSF0pW2NIXTE=","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMC4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.0688,0.0008,0.0681,0.0583,0.059,-2,2,0,"OPLS3e",13.491,true,"168476030.0-1","glide-grid_901",302,7,-9.407,-0.553,-1.423,-2.454,-9.465,-9.465,-16.378,-20.485,-36.863,12.782,-39.195,-1.657,1,22,0.058,1,"",""
,"172470549.0","48902","335_172470549.0.1","2025-11-14 19:16:56","2025-11-14 19:16:56","","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/XP/6QSU","901_XP.maegz",3,"",,,"",,,,,,,,,,,,,,,,,,,,,,,"",,335,54700,true,0,2,51139,"W0NIM11PQyg9TylbQ0BASF0oW0NIMl1QKD1PKShbT0hdKVtPSF0pYzFbY0hdW2NIXWMoW09IXSljKFtPSF0pW2NIXTE=","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMC4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.2916,0.0000,0.2916,0.2800,0.280,-1,1,0,"OPLS3e",6.614,true,"172470549.0-1","glide-grid_901",308,8,-9.358,-0.520,-1.363,-2.405,-9.638,-9.638,-19.927,-20.662,-40.589,8.715,-48.669,-0.960,1,3,0.280,1,"This compound has an ester and may undergo hydrolysis at high or low pH.",""
,"172440200.0","48903","333_172440200.0.1","2025-11-14 19:16:56","2025-11-14 19:16:56","","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/XP/6QSU","901_XP.maegz",4,"",,,"",,,,,,,,,,,,,,,,,,,,,,,"",,333,42550,true,0,2,51139,"Tz1QKFtPSF0pKFtPSF0pW0NIMl1bQ0BIXShDKD1PKVtPSF0pYzFbY0hdYyhbT0hdKWMoW09IXSlbY0hdYzFCcg==","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMC4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.0763,0.0004,0.0758,0.0583,0.059,-2,2,0,"OPLS3e",11.258,true,"172440200.0-1","glide-grid_901",306,7,-9.122,-0.507,-1.328,-2.345,-9.180,-9.180,-15.730,-21.927,-37.656,8.135,-36.020,-1.541,1,40,0.058,1,"",""
,"172470549.0","48904","335_172470549.0.1","2025-11-14 19:16:56","2025-11-14 19:16:56","","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/XP/6QSU","901_XP.maegz",5,"",,,"",,,,,,,,,,,,,,,,,,,,,,,"",,335,54700,true,0,2,51139,"W0NIM11PQyg9TylbQ0BASF0oW0NIMl1QKD1PKShbT0hdKVtPSF0pYzFbY0hdW2NIXWMoW09IXSljKFtPSF0pW2NIXTE=","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMC4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.2916,0.0000,0.2916,0.2800,0.280,-1,1,0,"OPLS3e",6.614,true,"172470549.0-1","glide-grid_901",308,8,-9.097,-0.505,-1.325,-2.338,-9.377,-9.377,-19.976,-17.444,-37.420,0.000,-51.670,-0.960,1,1,0.280,2,"This compound has an ester and may undergo hydrolysis at high or low pH.",""
,"168476030.0","48905","329_168476030.0.1","2025-11-14 19:16:56","2025-11-14 19:16:56","","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/XP/6QSU","901_XP.maegz",6,"",,,"",,,,,,,,,,,,,,,,,,,,,,,"",,329,1555,true,0,2,51139,"Tz1QKFtPSF0pKFtPSF0pW0NIMl1bQ0BIXShDKD1PKVtPSF0pYzFbY0hdW2NIXWMoW09IXSljKFtPSF0pW2NIXTE=","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMC4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.0688,0.0008,0.0681,0.0583,0.059,-2,2,0,"OPLS3e",13.491,true,"168476030.0-1","glide-grid_901",302,7,-9.056,-0.533,-1.370,-2.363,-9.115,-9.115,-14.614,-21.957,-36.572,11.837,-39.025,-1.657,1,28,0.058,2,"",""
,"172470549.0","48906","335_172470549.0.1","2025-11-14 19:16:56","2025-11-14 19:16:56","","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/XP/6QSU","901_XP.maegz",7,"",,,"",,,,,,,,,,,,,,,,,,,,,,,"",,335,54700,true,0,2,51139,"W0NIM11PQyg9TylbQ0BASF0oW0NIMl1QKD1PKShbT0hdKVtPSF0pYzFbY0hdW2NIXWMoW09IXSljKFtPSF0pW2NIXTE=","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMC4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.2916,0.0000,0.2916,0.2800,0.280,-1,1,0,"OPLS3e",6.614,true,"172470549.0-1","glide-grid_901",308,8,-9.051,-0.503,-1.318,-2.327,-9.331,-9.331,-22.452,-17.220,-39.672,0.000,-51.717,-0.960,1,14,0.280,3,"This compound has an ester and may undergo hydrolysis at high or low pH.",""
,"168476030.0","48907","329_168476030.0.1","2025-11-14 19:16:56","2025-11-14 19:16:56","","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/XP/6QSU","901_XP.maegz",8,"",,,"",,,,,,,,,,,,,,,,,,,,,,,"",,329,1555,true,0,2,51139,"Tz1QKFtPSF0pKFtPSF0pW0NIMl1bQ0BIXShDKD1PKVtPSF0pYzFbY0hdW2NIXWMoW09IXSljKFtPSF0pW2NIXTE=","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMC4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.0688,0.0008,0.0681,0.0583,0.059,-2,2,0,"OPLS3e",13.491,true,"168476030.0-1","glide-grid_901",302,7,-8.856,-0.521,-1.340,-2.310,-8.914,-8.914,-14.269,-21.049,-35.318,9.532,-38.531,-1.657,1,36,0.058,3,"",""
,"172470549.0","48908","335_172470549.0.1","2025-11-14 19:16:56","2025-11-14 19:16:56","","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/XP/6QSU","901_XP.maegz",9,"",,,"",,,,,,,,,,,,,,,,,,,,,,,"",,335,54700,true,0,2,51139,"W0NIM11PQyg9TylbQ0BASF0oW0NIMl1QKD1PKShbT0hdKVtPSF0pYzFbY0hdW2NIXWMoW09IXSljKFtPSF0pW2NIXTE=","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMC4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.2916,0.0000,0.2916,0.2800,0.280,-1,1,0,"OPLS3e",6.614,true,"172470549.0-1","glide-grid_901",308,8,-8.800,-0.489,-1.281,-2.262,-9.080,-9.080,-19.195,-18.975,-38.170,5.438,-48.308,-0.960,1,17,0.280,4,"This compound has an ester and may undergo hydrolysis at high or low pH.",""
,"168476030.0","48909","329_168476030.0.1","2025-11-14 19:16:56","2025-11-14 19:16:56","","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/XP/6QSU","901_XP.maegz",10,"",,,"",,,,,,,,,,,,,,,,,,,,,,,"",,329,1555,true,0,2,51139,"Tz1QKFtPSF0pKFtPSF0pW0NIMl1bQ0BIXShDKD1PKVtPSF0pYzFbY0hdW2NIXWMoW09IXSljKFtPSF0pW2NIXTE=","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMC4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.0688,0.0008,0.0681,0.0583,0.059,-2,2,0,"OPLS3e",13.491,true,"168476030.0-1","glide-grid_901",302,7,-8.732,-0.514,-1.321,-2.278,-8.790,-8.790,-13.921,-20.287,-34.208,7.038,-38.933,-1.657,1,44,0.058,4,"",""
,"172440200.0","48910","333_172440200.0.1","2025-11-14 19:16:56","2025-11-14 19:16:56","","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/XP/6QSU","901_XP.maegz",11,"",,,"",,,,,,,,,,,,,,,,,,,,,,,"",,333,42550,true,0,2,51139,"Tz1QKFtPSF0pKFtPSF0pW0NIMl1bQ0BIXShDKD1PKVtPSF0pYzFbY0hdYyhbT0hdKWMoW09IXSlbY0hdYzFCcg==","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMC4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.0763,0.0004,0.0758,0.0583,0.059,-2,2,0,"OPLS3e",11.258,true,"172440200.0-1","glide-grid_901",306,7,-8.642,-0.480,-1.258,-2.221,-8.700,-8.700,-14.721,-20.590,-35.311,13.145,-41.466,-1.541,1,9,0.058,2,"",""
,"168476030.0","48911","329_168476030.0.1","2025-11-14 19:16:56","2025-11-14 19:16:56","","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/XP/6QSU","901_XP.maegz",12,"",,,"",,,,,,,,,,,,,,,,,,,,,,,"",,329,1555,true,0,2,51139,"Tz1QKFtPSF0pKFtPSF0pW0NIMl1bQ0BIXShDKD1PKVtPSF0pYzFbY0hdW2NIXWMoW09IXSljKFtPSF0pW2NIXTE=","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMC4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.0688,0.0008,0.0681,0.0583,0.059,-2,2,0,"OPLS3e",13.491,true,"168476030.0-1","glide-grid_901",302,7,-8.324,-0.490,-1.259,-2.171,-8.382,-8.382,-13.004,-17.198,-30.202,15.256,-37.528,-1.657,1,18,0.058,5,"",""
,"44543377.0","48912","331_44543377.0.1","2025-11-14 19:16:56","2025-11-14 19:16:56","","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/XP/6QSU","901_XP.maegz",13,"",,,"",,,,,,,,,,,,,,,,,,,,,,,"",,331,17850,false,0,2,51139,"Tz1QKFtPSF0pKFtPSF0pW0NIMl1bQ0gyXWMxW2NIXVtjSF1jKFtPSF0pYyhbT0hdKVtjSF0x","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMC4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.1007,0.0000,0.1007,0.0892,0.089,-1,1,0,"OPLS3e",0.477,true,"44543377.0-1","glide-grid_901",304,6,-8.223,-0.587,-1.416,-2.260,-8.312,-8.312,-15.598,-18.063,-33.660,5.317,-39.634,-1.440,1,1,0.089,1,"",""
,"44543377.0","48913","331_44543377.0.1","2025-11-14 19:16:56","2025-11-14 19:16:56","","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/XP/6QSU","901_XP.maegz",14,"",,,"",,,,,,,,,,,,,,,,,,,,,,,"",,331,17850,false,0,2,51139,"Tz1QKFtPSF0pKFtPSF0pW0NIMl1bQ0gyXWMxW2NIXVtjSF1jKFtPSF0pYyhbT0hdKVtjSF0x","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMC4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.1007,0.0000,0.1007,0.0892,0.089,-1,1,0,"OPLS3e",0.477,true,"44543377.0-1","glide-grid_901",304,6,-8.208,-0.586,-1.413,-2.256,-8.297,-8.297,-15.597,-17.733,-33.330,3.225,-39.803,-1.440,1,27,0.089,2,"",""
,"44543377.0","48914","331_44543377.0.1","2025-11-14 19:16:56","2025-11-14 19:16:56","","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/XP/6QSU","901_XP.maegz",15,"",,,"",,,,,,,,,,,,,,,,,,,,,,,"",,331,17850,false,0,2,51139,"Tz1QKFtPSF0pKFtPSF0pW0NIMl1bQ0gyXWMxW2NIXVtjSF1jKFtPSF0pYyhbT0hdKVtjSF0x","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMC4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.1007,0.0000,0.1007,0.0892,0.089,-1,1,0,"OPLS3e",0.477,true,"44543377.0-1","glide-grid_901",304,6,-8.151,-0.582,-1.403,-2.240,-8.240,-8.240,-15.297,-17.325,-32.623,6.855,-37.152,-1.440,1,53,0.089,3,"",""
,"172470549.0","48915","335_172470549.0.1","2025-11-14 19:16:56","2025-11-14 19:16:56","","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/XP/6QSU","901_XP.maegz",16,"",,,"",,,,,,,,,,,,,,,,,,,,,,,"",,335,54700,true,0,2,51139,"W0NIM11PQyg9TylbQ0BASF0oW0NIMl1QKD1PKShbT0hdKVtPSF0pYzFbY0hdW2NIXWMoW09IXSljKFtPSF0pW2NIXTE=","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMC4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.2916,0.0000,0.2916,0.2800,0.280,-1,1,0,"OPLS3e",6.614,true,"172470549.0-1","glide-grid_901",308,8,-8.138,-0.452,-1.185,-2.092,-8.418,-8.418,-18.784,-18.680,-37.464,0.000,-49.033,-0.960,1,36,0.280,5,"This compound has an ester and may undergo hydrolysis at high or low pH.",""
,"168476030.0","48916","329_168476030.0.1","2025-11-14 19:16:56","2025-11-14 19:16:56","","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/XP/6QSU","901_XP.maegz",17,"",,,"",,,,,,,,,,,,,,,,,,,,,,,"",,329,1555,true,0,2,51139,"Tz1QKFtPSF0pKFtPSF0pW0NIMl1bQ0BIXShDKD1PKVtPSF0pYzFbY0hdW2NIXWMoW09IXSljKFtPSF0pW2NIXTE=","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMC4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.0688,0.0008,0.0681,0.0583,0.059,-2,2,0,"OPLS3e",13.491,true,"168476030.0-1","glide-grid_901",302,7,-8.004,-0.471,-1.211,-2.088,-8.062,-8.062,-11.597,-19.811,-31.408,0.000,-43.330,-1.657,1,45,0.058,6,"",""
,"168476030.0","48917","329_168476030.0.1","2025-11-14 19:16:56","2025-11-14 19:16:56","","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/XP/6QSU","901_XP.maegz",18,"",,,"",,,,,,,,,,,,,,,,,,,,,,,"",,329,1555,true,0,2,51139,"Tz1QKFtPSF0pKFtPSF0pW0NIMl1bQ0BIXShDKD1PKVtPSF0pYzFbY0hdW2NIXWMoW09IXSljKFtPSF0pW2NIXTE=","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMC4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.0688,0.0008,0.0681,0.0583,0.059,-2,2,0,"OPLS3e",13.491,true,"168476030.0-1","glide-grid_901",302,7,-7.970,-0.469,-1.205,-2.079,-8.028,-8.028,-12.824,-22.536,-35.360,4.002,-39.851,-1.657,1,47,0.058,7,"",""
,"172470549.0","48918","335_172470549.0.1","2025-11-14 19:16:56","2025-11-14 19:16:56","","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/XP/6QSU","901_XP.maegz",19,"",,,"",,,,,,,,,,,,,,,,,,,,,,,"",,335,54700,true,0,2,51139,"W0NIM11PQyg9TylbQ0BASF0oW0NIMl1QKD1PKShbT0hdKVtPSF0pYzFbY0hdW2NIXWMoW09IXSljKFtPSF0pW2NIXTE=","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMC4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.2916,0.0000,0.2916,0.2800,0.280,-1,1,0,"OPLS3e",6.614,true,"172470549.0-1","glide-grid_901",308,8,-7.950,-0.442,-1.158,-2.044,-8.230,-8.230,-18.515,-15.097,-33.612,0.000,-47.775,-0.960,1,23,0.280,6,"This compound has an ester and may undergo hydrolysis at high or low pH.",""
,"44543377.0","48919","331_44543377.0.1","2025-11-14 19:16:56","2025-11-14 19:16:56","","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/XP/6QSU","901_XP.maegz",20,"",,,"",,,,,,,,,,,,,,,,,,,,,,,"",,331,17850,false,0,2,51139,"Tz1QKFtPSF0pKFtPSF0pW0NIMl1bQ0gyXWMxW2NIXVtjSF1jKFtPSF0pYyhbT0hdKVtjSF0x","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMC4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.1007,0.0000,0.1007,0.0892,0.089,-1,1,0,"OPLS3e",0.477,true,"44543377.0-1","glide-grid_901",304,6,-7.921,-0.566,-1.364,-2.177,-8.010,-8.010,-10.504,-22.230,-32.734,7.339,-38.715,-1.440,1,30,0.089,4,"",""
,"44543377.0","48920","331_44543377.0.1","2025-11-14 19:16:56","2025-11-14 19:16:56","","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/XP/6QSU","901_XP.maegz",21,"",,,"",,,,,,,,,,,,,,,,,,,,,,,"",,331,17850,false,0,2,51139,"Tz1QKFtPSF0pKFtPSF0pW0NIMl1bQ0gyXWMxW2NIXVtjSF1jKFtPSF0pYyhbT0hdKVtjSF0x","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMC4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.1007,0.0000,0.1007,0.0892,0.089,-1,1,0,"OPLS3e",0.477,true,"44543377.0-1","glide-grid_901",304,6,-7.920,-0.566,-1.363,-2.176,-8.009,-8.009,-10.498,-22.224,-32.722,2.333,-42.681,-1.440,1,31,0.089,5,"",""
