"Stars","Title","Entry ID","Entry Name","Date Added","Date Modified","PDB format version","Source Path","Source File","Source File Index","entry id backup","ran protassign","prepared","prepared with version","Potential Energy-OPLS3e","RMS Derivative-OPLS3e","Max Derivative-OPLS3e","Stretch Energy-OPLS3e","Bend Energy-OPLS3e","LJ-14 Energy-OPLS3e","El-14 Energy-OPLS3e","Van der Waals Energy-OPLS3e","Electrostatic Energy-OPLS3e","Dihedral Energy-OPLS3e","target temperature","ran impref","grid version","gridbox xcent","gridbox ycent","gridbox zcent","gridbox xrange","gridbox yrange","gridbox zrange","gridbox ligxrange","gridbox ligyrange","gridbox ligzrange","grid type","receptor","Line_Number","IC50","chiral flag","version","ct enhanced stereo status","mmshare version","input","cmdline","tautomer probability","Ionization Penalty","Ionization Penalty Charging","Ionization Penalty Neutral","State Penalty","Charging Adjusted Penalty","Tot Q","Tot abs Q","flags","Force Field","Energy","Chiralities Consistent","Variant","glide gridfile","glide lignum","glide rotatable bonds","docking score","glide ligand efficiency","glide ligand efficiency sa","glide ligand efficiency ln","XP GScore","glide gscore","glide evdw","glide ecoul","glide energy","glide einternal","glide emodel","XP HBond","glide confnum","glide posenum","glide eff state penalty","XP PoseRank","Chemistry Notes","EZ 1","glide lipo","glide hbond","glide metal","glide rewards","glide erotb","glide esite"
,"812 - minimized","159726","812.1","2025-11-14 20:52:57","2025-11-14 20:52:57","3.0","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/SP/6QSU","812_SP.maegz",1,"68",true,true,"2020-3",-22393.574,0.053,1.318,13.680,860.993,984.057,-719.865,-2211.250,-21334.439,13.250,298.000,true,88139,0.777,1.636,26.988,25.000,25.000,25.000,10.000,10.000,10.000,"glide",true,,,,,,,"","",,,,,,,,,,"",,,"","",,,,,,,,,,,,,,,,,,,"","",,,,,,
,"44543377.0","159727","331_44543377.0.1","2025-11-14 20:52:57","2025-11-14 20:52:57","","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/SP/6QSU","812_SP.maegz",2,"",,,"",,,,,,,,,,,,,,,,,,,,,,,"",,331,17850,false,0,2,51139,"Tz1QKFtPSF0pKFtPSF0pW0NIMl1bQ0gyXWMxW2NIXVtjSF1jKFtPSF0pYyhbT0hdKVtjSF0x","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMC4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.1007,0.0000,0.1007,0.0892,0.089,-1,1,0,"OPLS3e",0.477,true,"44543377.0-1","glide-grid_812",304,6,-7.411,-0.529,-1.276,-2.036,,-7.500,-9.252,-17.848,-27.099,7.810,-56.177,,36,168,0.089,,"","",-0.524,0.000,-2.875,-1.929,1.067,-0.100
,"44543377.0","159728","331_44543377.0.1","2025-11-14 20:52:57","2025-11-14 20:52:57","","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/SP/6QSU","812_SP.maegz",3,"",,,"",,,,,,,,,,,,,,,,,,,,,,,"",,331,17850,false,0,2,51139,"Tz1QKFtPSF0pKFtPSF0pW0NIMl1bQ0gyXWMxW2NIXVtjSF1jKFtPSF0pYyhbT0hdKVtjSF0x","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMC4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.1007,0.0000,0.1007,0.0892,0.089,-1,1,0,"OPLS3e",0.477,true,"44543377.0-1","glide-grid_812",304,6,-7.208,-0.515,-1.241,-1.981,,-7.297,5.443,-21.689,-16.246,6.631,-45.021,,14,11,0.089,,"","",-0.480,0.000,-2.875,-1.929,1.067,-0.100
,"44543377.0","159729","331_44543377.0.1","2025-11-14 20:52:57","2025-11-14 20:52:57","","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/SP/6QSU","812_SP.maegz",4,"",,,"",,,,,,,,,,,,,,,,,,,,,,,"",,331,17850,false,0,2,51139,"Tz1QKFtPSF0pKFtPSF0pW0NIMl1bQ0gyXWMxW2NIXVtjSF1jKFtPSF0pYyhbT0hdKVtjSF0x","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMC4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.1007,0.0000,0.1007,0.0892,0.089,-1,1,0,"OPLS3e",0.477,true,"44543377.0-1","glide-grid_812",304,6,-7.125,-0.509,-1.227,-1.958,,-7.214,-7.690,-17.009,-24.699,10.243,-51.303,,30,116,0.089,,"","",-0.442,0.000,-2.875,-1.929,1.067,-0.100
,"44543377.0","159730","331_44543377.0.1","2025-11-14 20:52:57","2025-11-14 20:52:57","","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/SP/6QSU","812_SP.maegz",5,"",,,"",,,,,,,,,,,,,,,,,,,,,,,"",,331,17850,false,0,2,51139,"Tz1QKFtPSF0pKFtPSF0pW0NIMl1bQ0gyXWMxW2NIXVtjSF1jKFtPSF0pYyhbT0hdKVtjSF0x","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMC4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.1007,0.0000,0.1007,0.0892,0.089,-1,1,0,"OPLS3e",0.477,true,"44543377.0-1","glide-grid_812",304,6,-7.119,-0.509,-1.226,-1.956,,-7.208,1.736,-19.524,-17.789,5.655,-46.661,,20,277,0.089,,"","",-0.530,0.000,-2.875,-1.929,1.067,-0.100
,"168476030.0","159731","329_168476030.0.1","2025-11-14 20:52:57","2025-11-14 20:52:57","","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/SP/6QSU","812_SP.maegz",6,"",,,"",,,,,,,,,,,,,,,,,,,,,,,"",,329,1555,true,0,2,51139,"Tz1QKFtPSF0pKFtPSF0pW0NIMl1bQ0BIXShDKD1PKVtPSF0pYzFbY0hdW2NIXWMoW09IXSljKFtPSF0pW2NIXTE=","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMC4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.0688,0.0008,0.0681,0.0583,0.059,-2,2,0,"OPLS3e",13.491,true,"168476030.0-1","glide-grid_812",302,7,-7.029,-0.413,-1.063,-1.834,,-7.088,2.073,-17.921,-15.849,13.034,-27.175,,4,228,0.058,,"","",-0.577,0.000,-2.875,-1.635,0.785,-0.200
,"44543377.0","159732","331_44543377.0.1","2025-11-14 20:52:57","2025-11-14 20:52:57","","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/SP/6QSU","812_SP.maegz",7,"",,,"",,,,,,,,,,,,,,,,,,,,,,,"",,331,17850,false,0,2,51139,"Tz1QKFtPSF0pKFtPSF0pW0NIMl1bQ0gyXWMxW2NIXVtjSF1jKFtPSF0pYyhbT0hdKVtjSF0x","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMC4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.1007,0.0000,0.1007,0.0892,0.089,-1,1,0,"OPLS3e",0.477,true,"44543377.0-1","glide-grid_812",304,6,-6.951,-0.496,-1.197,-1.910,,-7.040,-6.322,-18.892,-25.214,10.194,-51.077,,16,268,0.089,,"","",-0.054,0.000,-2.875,-1.929,1.067,-0.100
,"44543377.0","159733","331_44543377.0.1","2025-11-14 20:52:57","2025-11-14 20:52:57","","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/SP/6QSU","812_SP.maegz",8,"",,,"",,,,,,,,,,,,,,,,,,,,,,,"",,331,17850,false,0,2,51139,"Tz1QKFtPSF0pKFtPSF0pW0NIMl1bQ0gyXWMxW2NIXVtjSF1jKFtPSF0pYyhbT0hdKVtjSF0x","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMC4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.1007,0.0000,0.1007,0.0892,0.089,-1,1,0,"OPLS3e",0.477,true,"44543377.0-1","glide-grid_812",304,6,-6.783,-0.484,-1.168,-1.864,,-6.872,-9.140,-16.750,-25.889,6.863,-52.679,,13,91,0.089,,"","",-0.066,0.000,-2.875,-1.929,1.067,-0.100
,"44543377.0","159734","331_44543377.0.1","2025-11-14 20:52:57","2025-11-14 20:52:57","","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/SP/6QSU","812_SP.maegz",9,"",,,"",,,,,,,,,,,,,,,,,,,,,,,"",,331,17850,false,0,2,51139,"Tz1QKFtPSF0pKFtPSF0pW0NIMl1bQ0gyXWMxW2NIXVtjSF1jKFtPSF0pYyhbT0hdKVtjSF0x","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMC4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.1007,0.0000,0.1007,0.0892,0.089,-1,1,0,"OPLS3e",0.477,true,"44543377.0-1","glide-grid_812",304,6,-6.663,-0.476,-1.147,-1.831,,-6.753,-5.894,-16.563,-22.457,7.341,-48.483,,6,184,0.089,,"","",-0.137,0.000,-2.875,-1.929,1.067,-0.100
,"44543377.0","159735","331_44543377.0.1","2025-11-14 20:52:57","2025-11-14 20:52:57","","/home/db/Documentos/David_Hito2/Glide/docking_results_6x/SP/6QSU","812_SP.maegz",10,"",,,"",,,,,,,,,,,,,,,,,,,,,,,"",,331,17850,false,0,2,51139,"Tz1QKFtPSF0pKFtPSF0pW0NIMl1bQ0gyXWMxW2NIXVtjSF1jKFtPSF0pYyhbT0hdKVtjSF0x","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMC4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.1007,0.0000,0.1007,0.0892,0.089,-1,1,0,"OPLS3e",0.477,true,"44543377.0-1","glide-grid_812",304,6,-6.603,-0.472,-1.137,-1.814,,-6.692,-8.805,-15.858,-24.663,7.600,-50.292,,16,203,0.089,,"","",-0.036,0.000,-2.875,-1.929,1.067,-0.100
